system,category,cases,answer_accuracy,negative_accuracy,object_precision,object_recall,predicate_adherence,unsupported_claim_rate,divergence_accuracy,exact_evidence_provenance_accuracy,answer_length,latency_p50_ms,latency_p95_ms,latency_p99_ms,ttft_p50_ms,tokens_per_second,startup_ms,artifact_size_mib,extra_memory_mib
MicroWorld explicit graph runtime,paraphrase,100,0.5,,0.6166666666666667,0.5,0.5,0.0,,1.0,49.0,22.079937,34.255399999999995,37.29360208,,,,,
MicroWorld explicit graph runtime,multi_evidence_implicit,50,1.0,,0.9666666666666667,1.0,1.0,0.0,,1.0,353.3,28.789396,43.332491999999995,44.83471151,,,,,
MicroWorld explicit graph runtime,multi_evidence_explicit,50,1.0,,1.0,1.0,1.0,0.0,,1.0,337.4,40.810354000000004,62.60468139999999,121.22158982999979,,,,,
Qwen2.5-0.5B-Instruct 4-bit,paraphrase,100,0.7,,0.7368421052631579,0.7416666666666667,0.7,0.0,,,26.1,297.1071665,513.34875355,651.0687358400002,,15.66586568853395,,,
Qwen2.5-0.5B-Instruct 4-bit,multi_evidence_implicit,50,0.7,,0.9666666666666667,0.85,0.7,0.0,,,118.7,503.021979,940.8331355999999,1039.6355062499997,,52.7286174625689,,,
Qwen2.5-0.5B-Instruct 4-bit,multi_evidence_explicit,50,0.6,,1.0,0.8166666666666668,0.6,0.0,,,82.1,418.90168700000004,730.45882895,855.25003967,,36.913004165344404,,,
