candidate_id,source_doc_title,source_doc_hash,item_type
snap-011-001,Oracle Corporation,21d8ef8f890db80c6f52de0149f5c7b92113c4ae79e6e66085c1a5d97ded2e5e,context_link
snap-011-002,Oracle Corporation,21d8ef8f890db80c6f52de0149f5c7b92113c4ae79e6e66085c1a5d97ded2e5e,context_link
snap-012-000,Jeff Bezos,6879f50f1b2ee20f10e9e5d5dc2c853624a1f4b1f20649b220520dffe39749a6,entity_card
snap-013-000,Blue Origin,38e38de47d9080bf6c7a4f83a419e25c80424b098a15a2a0bc049fbde1b9fd33,entity_card
snap-013-001,Blue Origin,38e38de47d9080bf6c7a4f83a419e25c80424b098a15a2a0bc049fbde1b9fd33,context_link
snap-013-002,Blue Origin,38e38de47d9080bf6c7a4f83a419e25c80424b098a15a2a0bc049fbde1b9fd33,context_link
snap-013-003,Blue Origin,38e38de47d9080bf6c7a4f83a419e25c80424b098a15a2a0bc049fbde1b9fd33,context_link
snap-013-004,Blue Origin,38e38de47d9080bf6c7a4f83a419e25c80424b098a15a2a0bc049fbde1b9fd33,context_link
snap-013-005,Blue Origin,38e38de47d9080bf6c7a4f83a419e25c80424b098a15a2a0bc049fbde1b9fd33,context_link
snap-013-006,Blue Origin,38e38de47d9080bf6c7a4f83a419e25c80424b098a15a2a0bc049fbde1b9fd33,context_link
snap-013-007,Blue Origin,38e38de47d9080bf6c7a4f83a419e25c80424b098a15a2a0bc049fbde1b9fd33,source_qualified_fact
snap-014-000,Bernard Arnault,585cc1df347c10f05bf16d1f274e1e05807577e4112d58e397a9af29273cdfdd,entity_card
snap-015-000,LVMH,439822b29406d40d1015734cf01478cbb398eafacc7bc694539fd57b07875656,entity_card
snap-015-001,LVMH,439822b29406d40d1015734cf01478cbb398eafacc7bc694539fd57b07875656,context_link
snap-016-000,Michael Bloomberg,5d05bb067a7c06f593dae45bf10e0b0239e44c9ec82358e617c9f1535f5a007b,entity_card
snap-016-001,Michael Bloomberg,5d05bb067a7c06f593dae45bf10e0b0239e44c9ec82358e617c9f1535f5a007b,context_link
snap-017-000,Bloomberg L.P.,f900dae8ba9d94db71701590f6e71ff9e242fefca2bf921ae4932caf6a406f54,entity_card
snap-017-001,Bloomberg L.P.,f900dae8ba9d94db71701590f6e71ff9e242fefca2bf921ae4932caf6a406f54,context_link
snap-017-002,Bloomberg L.P.,f900dae8ba9d94db71701590f6e71ff9e242fefca2bf921ae4932caf6a406f54,context_link
snap-017-003,Bloomberg L.P.,f900dae8ba9d94db71701590f6e71ff9e242fefca2bf921ae4932caf6a406f54,context_link
snap-018-000,Forbes,ccb3cdbf3d496afe7d3bf59bc7ff54bd930518101f0cba6e90f02bd92e9a3bf4,entity_card
snap-018-001,Forbes,ccb3cdbf3d496afe7d3bf59bc7ff54bd930518101f0cba6e90f02bd92e9a3bf4,context_link
