title,normalized_title,source_url,retrieved_at,revision_id,raw_text_sha256,normalized_doc_path
Elon Musk,Elon Musk,https://en.wikipedia.org/wiki/Elon_Musk,2026-06-15T07:15:23Z,1359424539,58745727304b770df7d0b685a717a742f62875f7ae1696a2234b3957ae7736ac,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Elon_Musk.md
"Tesla, Inc.","Tesla, Inc.","https://en.wikipedia.org/wiki/Tesla,_Inc.",2026-06-15T07:15:25Z,1359041831,8d0f5aa9802bceaa770bfe3f40db7f275ac0989cf20b04e7b46ab66e659a4f3e,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Tesla%2C_Inc..md
SpaceX,SpaceX,https://en.wikipedia.org/wiki/SpaceX,2026-06-15T07:15:26Z,1359429746,58c8e94d79367c9f5f6ab392c32cf7b6f898787bb9407b80820d9f1a1f2c61c4,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/SpaceX.md
Starlink,Starlink,https://en.wikipedia.org/wiki/Starlink,2026-06-15T07:15:27Z,1359204717,68b68f625030208cffdcb34e2c3b62437f6dd3c671c7da3301e23c514b909796,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Starlink.md
Falcon 1,Falcon 1,https://en.wikipedia.org/wiki/Falcon_1,2026-06-15T07:15:28Z,1351580477,45b86892b936a6e09deea570c7233dc8cff50aef898191cafa640dd029f0fcde,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Falcon_1.md
Falcon 9,Falcon 9,https://en.wikipedia.org/wiki/Falcon_9,2026-06-15T07:15:30Z,1359084552,f93489d3e8a257d0e3e3295c69386928dbb94d9e27bc102d10ba2b04ec3ab407,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Falcon_9.md
Neuralink,Neuralink,https://en.wikipedia.org/wiki/Neuralink,2026-06-15T07:15:31Z,1359201178,54072aeaf8aad3ac64570af14bde44e418928e327d27237a567b1e992076efaf,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Neuralink.md
The Boring Company,The Boring Company,https://en.wikipedia.org/wiki/The_Boring_Company,2026-06-15T07:15:32Z,1358554054,3e29a6154f7497a495450b2f1cd150630b5bed2ba6629a204a213659811348f4,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/The_Boring_Company.md
OpenAI,OpenAI,https://en.wikipedia.org/wiki/OpenAI,2026-06-15T07:15:33Z,1359431983,2ab1ff764b9f27ea6e2ecdfc6db8dbf4f8ef253e04c24010c9ce40fdcadd83f3,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/OpenAI.md
SolarCity,SolarCity,https://en.wikipedia.org/wiki/SolarCity,2026-06-15T07:15:34Z,1356428735,b9041ffd928acf6b4c66c73e78b08de2bf3bd861d6010857fcb890c11159257e,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/SolarCity.md
