id,total_latency_ms
obqa-a1a9e43a456910ea-multi_evidence_explicit-3054d6d8,17.953417
obqa-110b3019ee1271d4-paraphrase-df4d70d6,10.889250
obqa-ade8e9fd565548ea-multi_evidence_implicit-5450e428,32.720166
obqa-51aa8b9bcbab1601-paraphrase-855f7d67,15.097833
obqa-10dd4e36738f119c-paraphrase-f675f3af,18.957667
obqa-a6a1f16d0258e0cb-paraphrase-d41da84f,11.322542
obqa-938224028e0a9499-paraphrase-8a49f3c1,21.364917
obqa-02c190c26412b8c1-paraphrase-33a6c87b,11.624750
obqa-e741fc002e3534cb-paraphrase-8d3337ad,14.531958
obqa-938224028e0a9499-paraphrase-8a49f3c1,21.152584
obqa-8c3e0d78bbe231a2-multi_evidence_explicit-d7d5f7a6,37.726625
obqa-7cd1386930733633-multi_evidence_explicit-5602caf4,24.616458
obqa-ce3dc5cbd2b55e1f-multi_evidence_implicit-35e3e950,33.741083
obqa-a8f792d2fb8fac86-paraphrase-5726baa5,10.342041
obqa-110b3019ee1271d4-paraphrase-df4d70d6,11.534500
obqa-0f34e6b6464698ed-multi_evidence_explicit-e739c33d,27.074791
obqa-f984cbbcf6d231c3-multi_evidence_explicit-a5dda485,22.809791
obqa-8c3e0d78bbe231a2-multi_evidence_explicit-d7d5f7a6,26.367375
obqa-ce3dc5cbd2b55e1f-multi_evidence_implicit-35e3e950,31.400666
obqa-6fa200bb44ea2cfb-paraphrase-6dfdbef3,11.589917
obqa-7cd1386930733633-multi_evidence_explicit-5602caf4,54.347625
obqa-f984cbbcf6d231c3-multi_evidence_explicit-a5dda485,56.790334
obqa-7279fa825fdf6157-multi_evidence_implicit-c007d86b,39.320000
obqa-e5d71a2d2b0d7532-paraphrase-3482774b,14.434125
obqa-c9a94fef9fb67b45-multi_evidence_implicit-3e23fe12,32.536959
obqa-14d5a02db979bd7a-multi_evidence_implicit-552882ad,32.531708
obqa-f984cbbcf6d231c3-multi_evidence_explicit-a5dda485,22.045375
obqa-a8f792d2fb8fac86-paraphrase-5726baa5,10.250750
obqa-702460d9950c4822-multi_evidence_explicit-f4a886bf,27.879459
obqa-736422969f88d33b-multi_evidence_implicit-021a12c8,33.987875
obqa-feaeb7b3dda08374-paraphrase-6be3458d,9.823750
obqa-ae0297dfe9acc0a5-multi_evidence_implicit-f698388f,31.494459
obqa-644dc30c4b3c543d-paraphrase-d972b24f,10.076917
obqa-14d5a02db979bd7a-multi_evidence_implicit-552882ad,30.132542
obqa-526e2d9ee9d43598-multi_evidence_implicit-37f80b8e,31.300292
obqa-ce3dc5cbd2b55e1f-multi_evidence_implicit-35e3e950,30.415209
obqa-15cece819972cd21-paraphrase-ce8faf6b,9.905750
obqa-14d5a02db979bd7a-multi_evidence_implicit-552882ad,31.136250
obqa-51aa8b9bcbab1601-paraphrase-855f7d67,14.561625
obqa-d2b5c74bd4ac0220-multi_evidence_explicit-e4b0b778,21.579458
obqa-0a494ce4d482957d-multi_evidence_explicit-8f2ecd69,21.165334
obqa-7cd1386930733633-multi_evidence_explicit-5602caf4,20.755541
obqa-ae0297dfe9acc0a5-multi_evidence_implicit-f698388f,28.506000
obqa-d2b5c74bd4ac0220-multi_evidence_explicit-e4b0b778,21.054042
obqa-16888ad8789890c6-paraphrase-fb43db6d,13.044917
obqa-15cece819972cd21-paraphrase-ce8faf6b,9.726625
obqa-644dc30c4b3c543d-paraphrase-d972b24f,8.532459
obqa-dbb9ed8a8475a9f8-paraphrase-6379597d,11.701500
obqa-10dd4e36738f119c-paraphrase-f675f3af,16.314875
obqa-02c190c26412b8c1-paraphrase-33a6c87b,9.165542
obqa-e5d71a2d2b0d7532-paraphrase-3482774b,12.490750
obqa-f984cbbcf6d231c3-multi_evidence_explicit-a5dda485,20.275083
obqa-938224028e0a9499-paraphrase-8a49f3c1,18.871750
obqa-e8a5858c1fa0e6f9-multi_evidence_explicit-6606c6a6,21.838584
obqa-14d5a02db979bd7a-multi_evidence_implicit-552882ad,31.875584
obqa-702460d9950c4822-multi_evidence_explicit-f4a886bf,25.696834
obqa-a6a1f16d0258e0cb-paraphrase-d41da84f,9.184750
obqa-feaeb7b3dda08374-paraphrase-6be3458d,9.383750
obqa-10dd4e36738f119c-paraphrase-f675f3af,16.043250
