id,total_latency_ms,ttft_ms
obqa-10dd4e36738f119c-paraphrase-f675f3af,222.887500,
obqa-ade8e9fd565548ea-multi_evidence_implicit-5450e428,389.226834,
obqa-a1a9e43a456910ea-multi_evidence_explicit-3054d6d8,376.337583,
obqa-110b3019ee1271d4-paraphrase-df4d70d6,312.304750,
obqa-ade8e9fd565548ea-multi_evidence_implicit-5450e428,461.536917,
obqa-51aa8b9bcbab1601-paraphrase-855f7d67,298.754875,
obqa-10dd4e36738f119c-paraphrase-f675f3af,372.065250,
obqa-a6a1f16d0258e0cb-paraphrase-d41da84f,257.067875,
obqa-938224028e0a9499-paraphrase-8a49f3c1,282.900083,
obqa-02c190c26412b8c1-paraphrase-33a6c87b,242.820458,
obqa-e741fc002e3534cb-paraphrase-8d3337ad,198.163167,
obqa-938224028e0a9499-paraphrase-8a49f3c1,279.979458,
obqa-8c3e0d78bbe231a2-multi_evidence_explicit-d7d5f7a6,418.114708,
obqa-7cd1386930733633-multi_evidence_explicit-5602caf4,356.830666,
obqa-ce3dc5cbd2b55e1f-multi_evidence_implicit-35e3e950,430.391000,
obqa-a8f792d2fb8fac86-paraphrase-5726baa5,291.878583,
obqa-110b3019ee1271d4-paraphrase-df4d70d6,287.803500,
obqa-0f34e6b6464698ed-multi_evidence_explicit-e739c33d,367.865041,
obqa-f984cbbcf6d231c3-multi_evidence_explicit-a5dda485,372.324500,
obqa-8c3e0d78bbe231a2-multi_evidence_explicit-d7d5f7a6,412.213916,
obqa-ce3dc5cbd2b55e1f-multi_evidence_implicit-35e3e950,394.181750,
obqa-6fa200bb44ea2cfb-paraphrase-6dfdbef3,238.526667,
obqa-7cd1386930733633-multi_evidence_explicit-5602caf4,355.403208,
obqa-f984cbbcf6d231c3-multi_evidence_explicit-a5dda485,352.959458,
obqa-7279fa825fdf6157-multi_evidence_implicit-c007d86b,507.502208,
obqa-e5d71a2d2b0d7532-paraphrase-3482774b,213.428875,
obqa-c9a94fef9fb67b45-multi_evidence_implicit-3e23fe12,418.769125,
obqa-14d5a02db979bd7a-multi_evidence_implicit-552882ad,568.115083,
obqa-f984cbbcf6d231c3-multi_evidence_explicit-a5dda485,390.775542,
obqa-a8f792d2fb8fac86-paraphrase-5726baa5,318.586833,
obqa-702460d9950c4822-multi_evidence_explicit-f4a886bf,585.732958,
obqa-736422969f88d33b-multi_evidence_implicit-021a12c8,646.874917,
obqa-feaeb7b3dda08374-paraphrase-6be3458d,311.371916,
obqa-ae0297dfe9acc0a5-multi_evidence_implicit-f698388f,387.196083,
obqa-644dc30c4b3c543d-paraphrase-d972b24f,297.760041,
obqa-14d5a02db979bd7a-multi_evidence_implicit-552882ad,516.830791,
obqa-526e2d9ee9d43598-multi_evidence_implicit-37f80b8e,498.541750,
obqa-ce3dc5cbd2b55e1f-multi_evidence_implicit-35e3e950,518.608041,
obqa-15cece819972cd21-paraphrase-ce8faf6b,265.809875,
obqa-14d5a02db979bd7a-multi_evidence_implicit-552882ad,954.636792,
obqa-51aa8b9bcbab1601-paraphrase-855f7d67,344.631958,
obqa-d2b5c74bd4ac0220-multi_evidence_explicit-e4b0b778,568.589292,
obqa-0a494ce4d482957d-multi_evidence_explicit-8f2ecd69,646.912042,
obqa-7cd1386930733633-multi_evidence_explicit-5602caf4,567.428250,
obqa-ae0297dfe9acc0a5-multi_evidence_implicit-f698388f,641.739792,
obqa-d2b5c74bd4ac0220-multi_evidence_explicit-e4b0b778,547.161333,
obqa-16888ad8789890c6-paraphrase-fb43db6d,315.684333,
obqa-15cece819972cd21-paraphrase-ce8faf6b,339.119167,
obqa-644dc30c4b3c543d-paraphrase-d972b24f,475.069875,
obqa-dbb9ed8a8475a9f8-paraphrase-6379597d,439.446375,
obqa-10dd4e36738f119c-paraphrase-f675f3af,359.250334,
obqa-02c190c26412b8c1-paraphrase-33a6c87b,387.202625,
obqa-e5d71a2d2b0d7532-paraphrase-3482774b,318.044208,
