id,total_latency_ms
obqa-d0a4e0d426e9fa03-multi_evidence-8f3edd98,25.643375
obqa-d03027023965de50-direct-8b831945,9.687833
obqa-8c75be264d4fe7af-multi_evidence-27799c2a,25.972292
obqa-92a2aa8495c0a40e-paraphrase-92587fb1,22.589958
obqa-1d719f0c14fe2474-negative-47be2b37,5.479083
obqa-8544b10060a964b9-direct-95399150,16.565000
obqa-5289aee5dbaa20d5-paraphrase-fdeaf767,31.632792
obqa-8792665c633af94f-paraphrase-d9115bb1,30.430125
obqa-fc29916bb0f8029f-direct-17cc8d87,11.761042
obqa-ac3467bfb96e2267-paraphrase-0471282f,11.942084
obqa-1b73fa9020ef49ea-direct-885b40b3,12.083291
obqa-ab941d7fc310d3fc-multi_evidence-568db3d1,31.103208
obqa-788b80eb881e5190-negative-b9e0f1e2,7.859584
obqa-375cf44c18ff5bb6-direct-08e3f3aa,43.001500
obqa-d03027023965de50-negative-87d14304,6.844000
obqa-375cf44c18ff5bb6-multi_evidence-dce89bb2,37.922666
obqa-34a29a3ed563f042-negative-46081cae,8.212083
obqa-e9884980a04a8c4e-direct-8fc95d57,20.108417
obqa-30ed09729577410c-negative-4dd957ed,7.366333
obqa-75732b64423dab26-direct-7c7ba8ab,15.673708
obqa-009bdee8969b22d8-multi_evidence-f7bd67c3,35.464459
obqa-2231ec312efc70ca-paraphrase-031db293,37.127459
obqa-826080d84c42d0c5-multi_evidence-7aa04140,39.100583
obqa-dd6f801cd8969587-negative-a3cfe4cc,6.699875
obqa-6a5947508a6806c8-direct-9797910d,21.269208
obqa-1690463a38be2187-multi_evidence-5bb5afe6,39.438042
obqa-bbc8225f7eb388b2-negative-dbd7157d,7.476084
obqa-29bb8e81107ecb3d-direct-29d1055d,14.069833
obqa-607fcbb254608b94-multi_evidence-52f1cac2,34.347666
obqa-2eb6cb5c16ee452c-direct-bed451db,12.787708
obqa-a13238548099e987-direct-74095566,15.442875
obqa-64dabdaae9bf7608-negative-b65e0ec6,6.490917
obqa-8c75be264d4fe7af-direct-f2ee221a,35.845125
obqa-3d3a95f67b53508b-direct-3a8a0ce9,14.243375
obqa-6fd6e7e0292e493b-negative-25baa1e0,6.645458
obqa-1690463a38be2187-negative-f14313a6,5.295792
obqa-e176402f44c70d2f-direct-3fcb2417,13.998500
obqa-31a0ccb66f34519d-direct-f1ff4466,12.496250
obqa-3823cd141f0d5dab-negative-f3e628fd,5.345292
obqa-b5edb1ead32eca75-direct-c89fc2e3,12.486666
obqa-6e712a2341bd92e7-paraphrase-ba7a5f99,11.334042
obqa-375cf44c18ff5bb6-multi_evidence-dce89bb2,30.006167
obqa-31a0ccb66f34519d-negative-9c4940d7,5.637166
obqa-1690463a38be2187-negative-f14313a6,5.043833
obqa-64dabdaae9bf7608-negative-b65e0ec6,4.117833
obqa-d2915c285e295462-direct-9143a7e6,16.964875
obqa-cb3aa294dbeffdd1-paraphrase-75e3ad45,29.034833
obqa-71ae3d3576adde79-direct-09d04938,13.548042
obqa-f7db8e8907517f0e-multi_evidence-e29b2abe,29.057084
obqa-2c95892489e06676-direct-c5ae8c26,13.232250
obqa-dbd9b8ad34b39e8c-direct-1644ed6a,16.052000
obqa-607fcbb254608b94-paraphrase-aded8701,43.298708
obqa-f8fcc1f6cc259003-direct-05c6c917,17.654958
obqa-474f5fdc8847155c-direct-dbef2f62,14.543500
obqa-7605d9cc57646111-paraphrase-858906eb,10.889292
obqa-e4da2283b5fe480f-paraphrase-03a89af7,25.140458
obqa-ab2ce231ba32674b-negative-5b323060,4.781791
obqa-9fb018da4f42f8ea-multi_evidence-72a5ae3d,41.642750
obqa-c2926ee062959d0a-paraphrase-9fa37661,34.417375
obqa-c20f65defa41759c-negative-d80ca63e,6.338458
obqa-9f23e34a6f76ace6-paraphrase-5c661dcb,137.563750
obqa-d2915c285e295462-direct-9143a7e6,20.230458
obqa-dbd9b8ad34b39e8c-negative-9906a089,6.999875
obqa-375cf44c18ff5bb6-multi_evidence-dce89bb2,33.469333
obqa-bbc8225f7eb388b2-direct-36a738fc,12.706458
obqa-a8418b28f96ecf6e-direct-67ed8301,13.998750
obqa-788b80eb881e5190-direct-d394c014,15.540708
obqa-826080d84c42d0c5-multi_evidence-7cbeda08,31.965417
obqa-d22e1e906ac74737-multi_evidence-7ccd39d9,37.520375
obqa-2ed9c8723715bc59-multi_evidence-536facd1,34.437625
obqa-a8418b28f96ecf6e-direct-67ed8301,14.218959
obqa-f7db8e8907517f0e-multi_evidence-e29b2abe,30.953166
obqa-bbc8225f7eb388b2-negative-dbd7157d,5.646083
obqa-2231ec312efc70ca-paraphrase-031db293,36.371291
obqa-e120594632f5b024-negative-143dedaa,6.525542
obqa-3d3a95f67b53508b-direct-3a8a0ce9,16.451833
obqa-5d0711a9b59e8d78-negative-2f61761c,8.225500
obqa-8c75be264d4fe7af-multi_evidence-4520d588,49.224625
obqa-26515e5baae4f8cc-direct-5a30ff7e,23.753875
obqa-d02e2a29a4c5e9e4-multi_evidence-03d54ca4,38.305834
obqa-037486d464937544-multi_evidence-c81defcb,35.911708
obqa-826080d84c42d0c5-multi_evidence-7aa04140,36.175958
obqa-ef1d32bfeafb4a4c-paraphrase-1c1b8a5f,29.049667
obqa-e03cc6877ac7298b-negative-7b109f7b,6.176375
obqa-71ae3d3576adde79-negative-2e680385,7.997292
obqa-6fd6e7e0292e493b-direct-efd5dae3,14.201541
obqa-2c95892489e06676-negative-30d1122d,7.626333
obqa-b617504bfcd0271d-direct-5a8dd879,15.257500
obqa-71ae3d3576adde79-direct-09d04938,15.130917
obqa-86ec9759857e7caa-negative-76775ff8,6.337333
obqa-4ea3b05de392cb9b-direct-8bbb34e9,15.787916
obqa-826080d84c42d0c5-multi_evidence-7cbeda08,34.914333
obqa-968a321ff3dd19ae-direct-845ad942,13.839583
obqa-1fe5b6db7948acb2-paraphrase-1034015e,13.181917
obqa-6fd6e7e0292e493b-negative-25baa1e0,5.259500
obqa-9c28ef50f15e917b-paraphrase-e5d86c6e,49.822125
obqa-48d9bd7b07e92111-paraphrase-afaf6c17,28.189792
obqa-826080d84c42d0c5-negative-9fd4b83e,6.160875
obqa-788b80eb881e5190-direct-d394c014,15.816959
obqa-d3cc94c8e3606a6a-paraphrase-a2185500,11.151583
obqa-8b789de1cbb8804c-paraphrase-c7e6ed97,43.625917
obqa-d00e12bf41616fda-multi_evidence-876dc660,36.750791
obqa-8c75be264d4fe7af-multi_evidence-0c8af2c3,33.945417
obqa-826080d84c42d0c5-multi_evidence-7757329a,32.017667
obqa-416d6118966fb2b0-direct-e89fcdfc,14.323458
obqa-b4616d3bd5a23d3f-direct-f481c292,16.497792
obqa-5d352f5c6f70d12c-direct-f6972cc4,15.221000
obqa-8c75be264d4fe7af-multi_evidence-0c8af2c3,31.235042
obqa-b0d3648727c18df1-negative-295b9c42,6.533500
obqa-b8a0b43c5a22ac40-multi_evidence-88e3612d,31.867750
obqa-e2a9b279f09c7ffe-paraphrase-33d239eb,35.069709
obqa-34a29a3ed563f042-direct-9a8fc262,27.010042
obqa-b0d3648727c18df1-negative-295b9c42,7.117250
