id,total_latency_ms,ttft_ms
obqa-29bb8e81107ecb3d-direct-29d1055d,489.110375,
obqa-8c75be264d4fe7af-multi_evidence-2f1f24e4,5935.669125,
obqa-527d14b1225fad7e-paraphrase-3e97d63a,567.613834,
obqa-ab2ce231ba32674b-negative-5b323060,363.422708,
obqa-d0a4e0d426e9fa03-multi_evidence-8f3edd98,572.390209,
obqa-d03027023965de50-direct-8b831945,386.175167,
obqa-8c75be264d4fe7af-multi_evidence-27799c2a,1292.672583,
obqa-92a2aa8495c0a40e-paraphrase-92587fb1,671.152791,
obqa-1d719f0c14fe2474-negative-47be2b37,337.602625,
obqa-8544b10060a964b9-direct-95399150,491.119417,
obqa-5289aee5dbaa20d5-paraphrase-fdeaf767,421.321125,
obqa-8792665c633af94f-paraphrase-d9115bb1,1301.939542,
obqa-fc29916bb0f8029f-direct-17cc8d87,379.330833,
obqa-ac3467bfb96e2267-paraphrase-0471282f,392.348875,
obqa-1b73fa9020ef49ea-direct-885b40b3,450.694750,
obqa-ab941d7fc310d3fc-multi_evidence-568db3d1,1603.798417,
obqa-788b80eb881e5190-negative-b9e0f1e2,662.158750,
obqa-375cf44c18ff5bb6-direct-08e3f3aa,771.435250,
obqa-d03027023965de50-negative-87d14304,406.638417,
obqa-375cf44c18ff5bb6-multi_evidence-dce89bb2,2302.841500,
obqa-34a29a3ed563f042-negative-46081cae,461.471375,
obqa-e9884980a04a8c4e-direct-8fc95d57,836.012125,
obqa-30ed09729577410c-negative-4dd957ed,637.613125,
obqa-75732b64423dab26-direct-7c7ba8ab,1138.147541,
obqa-009bdee8969b22d8-multi_evidence-f7bd67c3,855.204375,
obqa-2231ec312efc70ca-paraphrase-031db293,1409.850667,
obqa-826080d84c42d0c5-multi_evidence-7aa04140,6283.304459,
obqa-dd6f801cd8969587-negative-a3cfe4cc,763.999167,
obqa-6a5947508a6806c8-direct-9797910d,884.935958,
obqa-1690463a38be2187-multi_evidence-5bb5afe6,1331.691416,
obqa-bbc8225f7eb388b2-negative-dbd7157d,616.475792,
obqa-29bb8e81107ecb3d-direct-29d1055d,719.386291,
obqa-607fcbb254608b94-multi_evidence-52f1cac2,2596.943333,
obqa-2eb6cb5c16ee452c-direct-bed451db,829.112666,
obqa-a13238548099e987-direct-74095566,749.796750,
obqa-64dabdaae9bf7608-negative-b65e0ec6,880.252292,
obqa-8c75be264d4fe7af-direct-f2ee221a,785.332250,
obqa-3d3a95f67b53508b-direct-3a8a0ce9,631.427000,
obqa-6fd6e7e0292e493b-negative-25baa1e0,778.101375,
obqa-1690463a38be2187-negative-f14313a6,806.635834,
obqa-e176402f44c70d2f-direct-3fcb2417,671.346750,
obqa-31a0ccb66f34519d-direct-f1ff4466,861.104166,
obqa-3823cd141f0d5dab-negative-f3e628fd,469.521625,
obqa-b5edb1ead32eca75-direct-c89fc2e3,1574.851959,
obqa-6e712a2341bd92e7-paraphrase-ba7a5f99,837.295125,
obqa-375cf44c18ff5bb6-multi_evidence-dce89bb2,2828.161042,
obqa-31a0ccb66f34519d-negative-9c4940d7,446.584042,
obqa-1690463a38be2187-negative-f14313a6,773.007541,
obqa-64dabdaae9bf7608-negative-b65e0ec6,863.895500,
obqa-d2915c285e295462-direct-9143a7e6,581.773958,
obqa-cb3aa294dbeffdd1-paraphrase-75e3ad45,783.207291,
obqa-71ae3d3576adde79-direct-09d04938,1382.474041,
obqa-f7db8e8907517f0e-multi_evidence-e29b2abe,881.468375,
obqa-2c95892489e06676-direct-c5ae8c26,631.711708,
obqa-dbd9b8ad34b39e8c-direct-1644ed6a,724.743208,
obqa-607fcbb254608b94-paraphrase-aded8701,860.466250,
obqa-f8fcc1f6cc259003-direct-05c6c917,832.827750,
obqa-474f5fdc8847155c-direct-dbef2f62,505.920583,
obqa-7605d9cc57646111-paraphrase-858906eb,842.646958,
obqa-e4da2283b5fe480f-paraphrase-03a89af7,633.877125,
obqa-ab2ce231ba32674b-negative-5b323060,395.875542,
obqa-9fb018da4f42f8ea-multi_evidence-72a5ae3d,1138.647833,
obqa-c2926ee062959d0a-paraphrase-9fa37661,2055.499834,
obqa-c20f65defa41759c-negative-d80ca63e,575.715750,
obqa-9f23e34a6f76ace6-paraphrase-5c661dcb,965.825125,
obqa-d2915c285e295462-direct-9143a7e6,699.198750,
obqa-dbd9b8ad34b39e8c-negative-9906a089,729.107417,
obqa-375cf44c18ff5bb6-multi_evidence-dce89bb2,2866.439208,
obqa-bbc8225f7eb388b2-direct-36a738fc,851.870583,
obqa-a8418b28f96ecf6e-direct-67ed8301,691.882292,
obqa-788b80eb881e5190-direct-d394c014,1202.929083,
obqa-826080d84c42d0c5-multi_evidence-7cbeda08,6195.265250,
obqa-d22e1e906ac74737-multi_evidence-7ccd39d9,1188.218459,
obqa-2ed9c8723715bc59-multi_evidence-536facd1,2033.205541,
obqa-a8418b28f96ecf6e-direct-67ed8301,710.401208,
obqa-f7db8e8907517f0e-multi_evidence-e29b2abe,1101.772917,
obqa-bbc8225f7eb388b2-negative-dbd7157d,637.798709,
obqa-2231ec312efc70ca-paraphrase-031db293,1427.419625,
obqa-e120594632f5b024-negative-143dedaa,1736.949541,
obqa-3d3a95f67b53508b-direct-3a8a0ce9,633.029458,
obqa-5d0711a9b59e8d78-negative-2f61761c,666.214625,
obqa-8c75be264d4fe7af-multi_evidence-4520d588,6196.787459,
obqa-26515e5baae4f8cc-direct-5a30ff7e,751.034625,
obqa-d02e2a29a4c5e9e4-multi_evidence-03d54ca4,1022.025792,
obqa-037486d464937544-multi_evidence-c81defcb,1111.085000,
obqa-826080d84c42d0c5-multi_evidence-7aa04140,6447.435375,
obqa-ef1d32bfeafb4a4c-paraphrase-1c1b8a5f,1679.828208,
obqa-e03cc6877ac7298b-negative-7b109f7b,1065.765542,
