id,total_latency_ms,ttft_ms
obqa-5a5b89efb46d96be-paraphrase-1ea45cc7,221.697250,
obqa-4e418096ab7bd988-paraphrase-e1eda976,217.155583,
obqa-207917700abc0b27-paraphrase-f99d44a2,200.313791,
obqa-24deaed5c5cb73cd-paraphrase-caf0ea83,270.398458,
obqa-5cb7968420e6a4de-paraphrase-3a598eb7,290.834083,
obqa-47110169245e6446-multi_evidence_implicit-1d00000f,496.705750,
obqa-1a3e9677863eeef8-multi_evidence_explicit-6f917d09,332.635750,
obqa-0e842d1357d6c519-multi_evidence_implicit-47922e91,679.715458,
obqa-6552a852c2acaf8e-paraphrase-5ff606fb,215.513333,
obqa-1686b8478e669259-multi_evidence_implicit-b516deb1,364.520833,
obqa-6eeb25f481f01ad1-multi_evidence_explicit-75f4f041,511.502250,
obqa-7ad719048406ec0c-multi_evidence_explicit-2f9f48bf,269.856292,
obqa-233c69d0198ba7a2-multi_evidence_implicit-8d1c27c6,376.982708,
obqa-8514fbe092dcb0a2-paraphrase-d68aeb44,229.232083,
obqa-2cd8a46fc316f2de-paraphrase-4ed7e602,188.566542,
obqa-8070bd398e0dcbc8-multi_evidence_implicit-63b0738d,598.987667,
obqa-8cca97131c73543c-multi_evidence_implicit-176d9870,550.796875,
obqa-7ad719048406ec0c-multi_evidence_explicit-2f9f48bf,267.855000,
obqa-02e43591964b5593-paraphrase-39b28351,210.985250,
obqa-819426a495d4e7de-multi_evidence_implicit-fdbf654a,557.433292,
obqa-55e17d64b4a026a7-paraphrase-5f46a0ee,215.979250,
obqa-a4e35ed043c863f7-multi_evidence_explicit-35447605,360.179042,
obqa-0e842d1357d6c519-multi_evidence_implicit-47922e91,688.012250,
obqa-9d2f65a0b1ff6c76-multi_evidence_implicit-49909e4c,428.698458,
obqa-5a5b89efb46d96be-paraphrase-1ea45cc7,247.869625,
obqa-0e842d1357d6c519-multi_evidence_implicit-47922e91,707.583875,
obqa-8070bd398e0dcbc8-multi_evidence_implicit-63b0738d,620.100583,
obqa-02e43591964b5593-paraphrase-39b28351,213.254791,
obqa-8cca97131c73543c-multi_evidence_implicit-176d9870,581.672167,
obqa-5fe07eb15c043aa3-paraphrase-ef89d201,259.611708,
obqa-1d456092f2340953-paraphrase-0d31381f,226.611750,
obqa-0e842d1357d6c519-multi_evidence_implicit-47922e91,771.594667,
obqa-3faa371cb26a6d75-multi_evidence_explicit-984997ad,336.411208,
obqa-8514fbe092dcb0a2-paraphrase-d68aeb44,249.373625,
obqa-24deaed5c5cb73cd-paraphrase-caf0ea83,310.355000,
obqa-24211e6fe6892194-paraphrase-d1a77bd7,238.489833,
obqa-207917700abc0b27-paraphrase-f99d44a2,227.783791,
obqa-b85095e08655def8-paraphrase-e6b12584,294.546416,
obqa-f0d3e2aa312e92d4-paraphrase-e2cc6954,247.249000,
obqa-3faa371cb26a6d75-multi_evidence_explicit-984997ad,336.046334,
obqa-994f2a3015ba4264-multi_evidence_explicit-5a6478a3,327.361334,
obqa-428056d2b94da395-paraphrase-d3243bd0,278.356000,
obqa-7ad719048406ec0c-multi_evidence_explicit-2f9f48bf,308.694250,
obqa-6552a852c2acaf8e-paraphrase-5ff606fb,238.231208,
obqa-9e05a644d363ea3f-multi_evidence_implicit-b45e4172,622.784334,
obqa-3faa371cb26a6d75-multi_evidence_explicit-984997ad,334.506333,
obqa-8cca97131c73543c-multi_evidence_implicit-176d9870,616.853916,
obqa-5a5b89efb46d96be-paraphrase-1ea45cc7,239.839083,
obqa-24deaed5c5cb73cd-paraphrase-caf0ea83,310.798917,
obqa-24deaed5c5cb73cd-paraphrase-caf0ea83,312.391166,
obqa-00fc3d3b72defc79-paraphrase-068d90b4,246.450958,
obqa-a4e35ed043c863f7-multi_evidence_explicit-35447605,381.757459,
obqa-68af2a739a534bf8-paraphrase-31cf042a,240.808125,
obqa-00fc3d3b72defc79-paraphrase-068d90b4,242.711834,
obqa-819426a495d4e7de-multi_evidence_implicit-fdbf654a,635.260833,
obqa-9e05a644d363ea3f-multi_evidence_implicit-b45e4172,622.078792,
obqa-47110169245e6446-multi_evidence_implicit-1d00000f,536.619375,
obqa-f0d3e2aa312e92d4-paraphrase-e2cc6954,252.165500,
obqa-6eeb25f481f01ad1-multi_evidence_explicit-75f4f041,570.934708,
obqa-9e05a644d363ea3f-multi_evidence_implicit-b45e4172,625.378333,
obqa-74e0363cfd1a0a4c-paraphrase-c57cdc56,266.496083,
obqa-2cd8a46fc316f2de-paraphrase-4ed7e602,214.165250,
obqa-8514fbe092dcb0a2-paraphrase-d68aeb44,261.124292,
obqa-6eeb25f481f01ad1-multi_evidence_explicit-75f4f041,525.260959,
