title,normalized_title,pageid,revision_id,source_url,raw_snapshot_path,normalized_doc_path,retrieved_at,raw_text_sha256,fetch_status,ready_for_self_ingestion,requires_quarantine,safe_for_general_runtime
Amazon,Amazon,29621629,1354143047,https://en.wikipedia.org/wiki/Amazon,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/raw_snapshots/Amazon.json,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Amazon.md,2026-06-15T07:15:39Z,ae50c52df97fb0d98705291decb84c3f60304035acc10a984809fcf7180a901d,success,False,True,False
Blue Origin,Blue Origin,887418,1357971657,https://en.wikipedia.org/wiki/Blue_Origin,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/raw_snapshots/Blue_Origin.json,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Blue_Origin.md,2026-06-15T07:15:41Z,38e38de47d9080bf6c7a4f83a419e25c80424b098a15a2a0bc049fbde1b9fd33,success,True,True,False
Bernard Arnault,Bernard Arnault,882504,1356534539,https://en.wikipedia.org/wiki/Bernard_Arnault,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/raw_snapshots/Bernard_Arnault.json,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Bernard_Arnault.md,2026-06-15T07:15:42Z,585cc1df347c10f05bf16d1f274e1e05807577e4112d58e397a9af29273cdfdd,success,True,True,False
LVMH,LVMH,858708,1359170740,https://en.wikipedia.org/wiki/LVMH,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/raw_snapshots/LVMH.json,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/LVMH.md,2026-06-15T07:15:43Z,439822b29406d40d1015734cf01478cbb398eafacc7bc694539fd57b07875656,success,True,True,False
Michael Bloomberg,Michael Bloomberg,38828,1359308572,https://en.wikipedia.org/wiki/Michael_Bloomberg,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/raw_snapshots/Michael_Bloomberg.json,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Michael_Bloomberg.md,2026-06-15T07:15:45Z,5d05bb067a7c06f593dae45bf10e0b0239e44c9ec82358e617c9f1535f5a007b,success,True,True,False
Bloomberg L.P.,Bloomberg L.P.,432006,1354472981,https://en.wikipedia.org/wiki/Bloomberg_L.P.,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/raw_snapshots/Bloomberg_L.P..json,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Bloomberg_L.P..md,2026-06-15T07:15:46Z,f900dae8ba9d94db71701590f6e71ff9e242fefca2bf921ae4932caf6a406f54,success,True,True,False
Forbes,Forbes,294894,1358924667,https://en.wikipedia.org/wiki/Forbes,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/raw_snapshots/Forbes.json,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Forbes.md,2026-06-15T07:15:47Z,ccb3cdbf3d496afe7d3bf59bc7ff54bd930518101f0cba6e90f02bd92e9a3bf4,success,True,True,False
Bloomberg News,Bloomberg News,3057255,1358887675,https://en.wikipedia.org/wiki/Bloomberg_News,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/raw_snapshots/Bloomberg_News.json,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Bloomberg_News.md,2026-06-15T07:15:48Z,ae38c1448cb2bd47a35925ecd4e4bf6fab46de9e317e843a51c8930de52e9d90,success,True,True,False
Electric vehicle,Electric vehicle,279350,1358039721,https://en.wikipedia.org/wiki/Electric_vehicle,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/raw_snapshots/Electric_vehicle.json,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Electric_vehicle.md,2026-06-15T07:15:49Z,476b12c57c4e2146bcc1c41f95f56e94c2dd80d7836c137200831e606dc130fe,success,True,True,False
Battery electric vehicle,Battery electric vehicle,16105212,1354471763,https://en.wikipedia.org/wiki/Battery_electric_vehicle,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/raw_snapshots/Battery_electric_vehicle.json,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Battery_electric_vehicle.md,2026-06-15T07:15:50Z,bab060e7d67c9e1d60e7d4a310b1190ff83179c8cab1a442b956856c27e38a12,success,True,True,False
Lithium-ion battery,Lithium-ion battery,201485,1358996234,https://en.wikipedia.org/wiki/Lithium-ion_battery,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/raw_snapshots/Lithium-ion_battery.json,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Lithium-ion_battery.md,2026-06-15T07:15:52Z,800872094b7e3d7c4c5e0e4bf28b264fbf5c5aadae5e03b83bac88d17ceeae9c,success,True,True,False
Gigafactory,Gigafactory,46579387,1328371479,https://en.wikipedia.org/wiki/Gigafactory,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/raw_snapshots/Gigafactory.json,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Gigafactory.md,2026-06-15T07:15:53Z,8e6a285b31da4376a3d726e82e7d047acc3c5e2c7095906b9731a305a84c44b5,success,True,True,False
Rocket,Rocket,26301,1358166262,https://en.wikipedia.org/wiki/Rocket,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/raw_snapshots/Rocket.json,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Rocket.md,2026-06-15T07:15:54Z,7d5a835dc7c8ab8e3118bde4072b1d838110f8b1fa21467c1bcff508035293c8,success,True,True,False
Reusable launch system,Reusable launch vehicle,336014,1358658592,https://en.wikipedia.org/wiki/Reusable_launch_vehicle,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/raw_snapshots/Reusable_launch_vehicle.json,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Reusable_launch_vehicle.md,2026-06-15T07:15:55Z,be57ef50f1e8bbe342f41ef15aba6fd8f0b9ddb5afad424d03d2dfe47c620485,success,True,True,False
Satellite internet,Satellite Internet access,769088,1359385224,https://en.wikipedia.org/wiki/Satellite_Internet_access,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/raw_snapshots/Satellite_Internet_access.json,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Satellite_Internet_access.md,2026-06-15T07:15:57Z,04cece53163c747a431cbf022935318daaab3215f62bcb11be9010ff27aa83fc,success,True,True,False
Spacecraft,Spacecraft,37910,1358166960,https://en.wikipedia.org/wiki/Spacecraft,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/raw_snapshots/Spacecraft.json,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Spacecraft.md,2026-06-15T07:15:58Z,74b7aa970779840c7399dffd6a3228d3b554acfdf18611f4624cc5493ef32a32,success,True,True,False
Clean energy,Sustainable energy,1055890,1357725919,https://en.wikipedia.org/wiki/Sustainable_energy,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/raw_snapshots/Sustainable_energy.json,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Sustainable_energy.md,2026-06-15T07:16:00Z,83989647c115fa76be17a112181fc16b5ba44c3f32a6c2368d436dfa7b9a7371,success,True,True,False
Solar power,Solar power,13690575,1358897905,https://en.wikipedia.org/wiki/Solar_power,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/raw_snapshots/Solar_power.json,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Solar_power.md,2026-06-15T07:16:01Z,65691875933dde4effcfef75b7f633a5d554706279cc16c424d37e0a7dab9414,success,True,True,False
Net worth,Net worth,405981,1348943142,https://en.wikipedia.org/wiki/Net_worth,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/raw_snapshots/Net_worth.json,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Net_worth.md,2026-06-15T07:16:02Z,1cecd54c03c08779e0598922d3824ca636fb7f44e7bebf4df12f8000ee648eec,success,True,True,False
Stock price,Share price,30875167,1284503899,https://en.wikipedia.org/wiki/Share_price,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/raw_snapshots/Share_price.json,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Share_price.md,2026-06-15T07:16:03Z,0a783a1af3f47fe0f6cb9ee1af4d3c3bc312e1d53cef6ddaf8853b1285fa61be,success,True,True,False
Market capitalization,Market capitalization,58829,1359130591,https://en.wikipedia.org/wiki/Market_capitalization,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/raw_snapshots/Market_capitalization.json,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Market_capitalization.md,2026-06-15T07:16:04Z,9a5f7d2ed2a0086f536398f8a148dcdcc282ba31314775b478985f3aaccb1546,success,True,True,False
Revenue,Revenue,247120,1357497597,https://en.wikipedia.org/wiki/Revenue,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/raw_snapshots/Revenue.json,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Revenue.md,2026-06-15T07:16:05Z,60a8ed5bd7a2a94be67d12e3e22811ad6e3eb97841982ad8828c1051b41a7e8c,success,False,True,False
Chief executive officer,Chief executive officer,52234,1355983461,https://en.wikipedia.org/wiki/Chief_executive_officer,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/raw_snapshots/Chief_executive_officer.json,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Chief_executive_officer.md,2026-06-15T07:16:06Z,2c22e66ae11072c276ff0f851e04e69b7a11d84d272958679a258029707533a0,success,True,True,False
Founder,Founder,1687708,1350370849,https://en.wikipedia.org/wiki/Founder,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/raw_snapshots/Founder.json,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Founder.md,2026-06-15T07:16:07Z,e687021f70052d30900860fcd35e5131e9043be5ab162a7bd375133c7d9c136b,success,False,True,False
Subsidiary,Subsidiary,567852,1356490738,https://en.wikipedia.org/wiki/Subsidiary,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/raw_snapshots/Subsidiary.json,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Subsidiary.md,2026-06-15T07:16:08Z,52276221cc8b3b75377c7bf1181ab2693dd6046ab323142e4d1f8ee7c48939bc,success,True,True,False
Product,Product,285436,1325150657,https://en.wikipedia.org/wiki/Product,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/raw_snapshots/Product.json,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Product.md,2026-06-15T07:16:09Z,708ede58623f1122a43ddf86c719e8882367c10d1bd05df02af56d9816c848d4,success,False,True,False
Organization,Organization,105070,1349118881,https://en.wikipedia.org/wiki/Organization,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/raw_snapshots/Organization.json,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Organization.md,2026-06-15T07:16:11Z,832e3826d190d9feb68cb5d4000dd08eae628b3ac4f8de1688a4e78fd4a5dece,success,True,True,False
Leadership,Leadership,130918,1358866233,https://en.wikipedia.org/wiki/Leadership,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/raw_snapshots/Leadership.json,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Leadership.md,2026-06-15T07:16:12Z,6bd74bc5c917ca193c1724e87339f61e220d7e0db4ae0634e6a432a48b2644b2,success,True,True,False
